,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime
17,1,True,"03 23, 2018",A1TRMJHEDGX0HF,B00004U9V2,{'Size:': ' 0.9 oz.'},soulsurfer,SOOOO not worth the money. Packaging is aweful. Screw top way too small and this is hand cream not paint. Felt greasy although the review said it would not. Disappointed.,Disappointed.,1521763200
18,5,True,"03 21, 2018",A2TTJS62322SXW,B00004U9V2,{'Size:': ' 250 g'},Geoffrey H. Sprague,use all the time,Five Stars,1521590400
19,5,True,"03 20, 2018",AX2K33SNI3WHN,B00004U9V2,{'Size:': ' 250 g'},Dona,I haven't found anything I like as well for my dry hands and nails.. and I love the pump bottle,Good product,1521504000
20,5,True,"03 20, 2018",ALX99DYO827ZK,B00004U9V2,{'Size:': ' 3.5 oz.'},Michael Napolitano,Bought this for my mom - she loves the stuff.,Five Stars,1521504000
21,1,True,"03 18, 2018",A3PVVQ9MHYFTV9,B00004U9V2,{'Size:': ' 3.5 oz.'},Amazon Customer,"I have used this cream for decades, but this particular cream is NOTHING like the old one.  The old cream had an appealing soft scent.  This one has an offensive male cologne smell.  It is so strong, I had to wash my hands immediately.  The old cream visibly hydrated my skin.  Not this one.
I am guessing this cream is a cheap knockoff.  Don't waste your money!!!!!",Stinky Fake,1521331200
22,5,True,"03 17, 2018",A22NEUQTKWQM98,B00004U9V2,{'Size:': ' 3.5 oz.'},Kathy Gillin,"My all-time favorite hand lotion. Smells heavenly and has just the right texture, not too heavy but not too light.",Nearly perfect,1521244800
23,5,True,"03 15, 2018",A1TQQZ6NVDTPNL,B00004U9V2,{'Size:': ' 3.5 oz.'},Amazon Customer,Best hand cream EVER!,Five Stars,1521072000
24,5,True,"03 15, 2018",A1TQQZ6NVDTPNL,B00004U9V2,{'Size:': ' 250 g'},Amazon Customer,Love to have this sitting on my desk!,Five Stars,1521072000
25,5,True,"03 11, 2018",A32E3RVLI6D4TM,B00004U9V2,{'Size:': ' 0.9 oz.'},Peggy M. Holmes,I love it because it does not leave skin feeling greasy.  I don't like that it is so expensive.,Five Stars,1520726400
26,5,True,"03 11, 2018",A3KUYXBMJ8AVIX,B00004U9V2,{'Size:': ' 250 g'},J&amp;amp;Knh,This is about the only lotion that gets my hands thru cold New Hampshire winters.  It's not oily. And doesn't leave my hands wanting more.  It is a life saver.,Perfect for dry hands in New England winters,1520726400
27,3,True,"03 9, 2018",A3TMPSQ7X4M9LO,B00004U9V2,{'Size:': ' 250 g'},ProviderKat,"Pleasing fragrance, but really didn't do much for rough dry hands.  I had higher hopes.  Maybe too high?",Three Stars,1520553600
28,1,True,"03 6, 2018",A2P5MRZ68JX8EE,B00004U9V2,{'Size:': ' 250 g'},Hawks  View Ranch,This smells like mens cologne. I thought it would smell more feminine disappointed.,One Star,1520294400
29,5,False,"03 4, 2018",A8VD1E2O6N2KO,B00004U9V2,{'Size:': ' 250 g'},Jet Jona,"I am sensitive to strong or artificial scents, and this always has a nice level.  It provides long-lasting moisture, but not greasy after a minute or so (I scrub my hands and nails with a brush after gardening/cleaning, dry them somewhat and apply).  At the promotional price, it was an excellent value for something I've loved using for over 20 years.","Very Moist, Mild-Moderately Fragrant, Not Greasy",1520121600
30,5,True,"03 4, 2018",A1Q3N7GU27KGMA,B00004U9V2,{'Size:': ' 250 g'},Barb,"Like many, my hands get extra dry in the winter.  It was so bad this year, none of my fingerprints were unlocking my phone anymore.  So annoying.  I'd moisturize at night, but it wasn't so helpful.  Someone left a bottle of this C&E moisturizer in the bathroom at work and after using it about once a day after washing my hands (it was annoying to take off rings more than once), my fingerprints started working again.  I wasn't expecting that!",This stuff brought my fingerprints back!,1520121600
31,5,True,"03 4, 2018",A3QEV9GSI4HPA5,B00004U9V2,{'Size:': ' 250 g'},Daniel Donahue,"Well worth the price, as I know my wife scrapes the bottle to reach the last dollop of Crabtree & Evelyn hand cream. She keeps one in her car and one on her desk. Gifts are easy when you know she enjoys Crabtree & Evelyn products so much.",Well worth the price for soothing hand relief,1520121600
32,5,False,"02 26, 2018",A2FMDHT0HNA3WY,B00004U9V2,{'Size:': ' 0.9 oz.'},veracity,Used this for years. Handy to keep in my purse.,Five Stars,1519603200
33,5,True,"02 19, 2018",A2QPHVVXS9FUBS,B00004U9V2,{'Size:': ' 3.5 oz.'},Helen Rosenthal,This is a wonderful hand cream that really works wonders. It softens and moisturizers. I have used it for years and now find it easy to order on Amazon.,Wonderful cream!,1518998400
34,5,True,"02 19, 2018",AL63CNA6X6IX8,B00004U9V2,{'Size:': ' 0.9 oz.'},Kiwi,Love this stuff!  Just wish I paid attention to the size.,Great moisturizer,1518998400
35,5,True,"02 17, 2018",A2N6AACMA6WOMN,B00004U9V2,{'Size:': ' 3.5 oz.'},Amazon Customer,Best hand cream for winter dry hands!  Love it!!,Five Stars,1518825600
36,4,True,"02 17, 2018",A35I4FD5EARKTS,B00004U9V2,{'Size:': ' 250 g'},Pete,Great but expensive.,Four Stars,1518825600
37,5,True,"02 17, 2018",A2N8V79LWVR8F2,B00004U9V2,{'Size:': ' 3.5 oz.'},Patricia Smith,This works very well without leaving your hands feeling greasy. It's perfect actually.,It's perfect actually.,1518825600
38,4,True,"02 14, 2018",A2R9R1DJ9RHXOX,B00004U9V2,{'Size:': ' 3.5 oz.'},YetAnotherGeekBoy,"Love the stuff, pricey.",Four Stars,1518566400
39,3,True,"02 10, 2018",A60EV0X26JNB3,B00004U9V2,{'Size:': ' 3.5 oz.'},winnie,I have some gold plated rings and using this made the gold plated peel right off. No idea why but it's a little frustrating and disconcerting.,"Moisturizing, but it damaged my jewelry.",1518220800
40,4,True,"02 10, 2018",A3CG9DJUY5F2UY,B00004U9V2,{'Size:': ' 250 g'},KFoernz,"The product is great, however the pump doesn't work at all. The pump won't release so none of my favorite lotion for me.
My husband finally got the pump to release, but it does not work smoothly like previous pumps.",Pump doesn't work.,1518220800
41,5,True,"02 5, 2018",AEDOSTGV48XO9,B00004U9V2,{'Size:': ' 0.9 oz.'},NG,Love this hand lotion - the scent is subtle and not overwhelming and it works. The size is great for carrying it in my handbag.,A hand lotion that works!,1517788800
42,3,False,"02 4, 2018",A21BQWP17YWUB4,B00004U9V2,{'Size:': ' 0.9 oz.'},A. Phillips,Pretty good cream. Strong smell. Not worth the price. Just get the drugstore stuff.,Three Stars,1517702400
43,5,True,"02 4, 2018",A30SYMQ05YRA2,B00004U9V2,{'Size:': ' 250 g'},Betty Irelan,Great,Five Stars,1517702400
44,5,True,"02 3, 2018",A390EWERC0I81R,B00004U9V2,{'Size:': ' 250 g'},Derk,Best product to heal dry cracks in hands.,excellent finger crack cream,1517616000
45,5,False,"01 31, 2018",A2FHSIC0TOLUNR,B00004U9V2,{'Size:': ' 250 g'},smile99,One of my favorite hand lotion and would keep buying.  The smell is neutral and pleasant.,Five Stars,1517356800
46,5,True,"01 30, 2018",ADWW3BMPLYEKD,B00004U9V2,{'Size:': ' 250 g'},DK,The best!,The best!,1517270400
47,5,True,"01 30, 2018",ADWW3BMPLYEKD,B00004U9V2,{'Size:': ' 0.9 oz.'},DK,The best!,The best!,1517270400
48,5,True,"01 29, 2018",AWCX1MPM94R1A,B00004U9V2,{'Size:': ' 250 g'},Dawn D.,Actually bought this to share with my husband as he loves it as much as I do. I even used the pump to put some back in a 3.5oz tube that was almost gone. It's a favorite scent that can be used year round :),So moisturizing and long lasting!,1517184000
49,3,True,"01 28, 2018",AOBNAZ8HUCDB0,B00004U9V2,{'Size:': ' 0.9 oz.'},Becky Fahy,Very little lotion in the tube.,Three Stars,1517097600
50,5,False,"01 25, 2018",A1XC08JP8BCD9I,B00004U9V2,{'Size:': ' 250 g'},Amazon Customer,Who says this stuff is just for the hands?  I've been using this on my face after shaving for years and also on my dried up hands.  It's the best and smells great too.,Great after shaving!,1516838400
51,5,True,"01 23, 2018",A388Q67YH5USCR,B00004U9V2,{'Size:': ' 3.5 oz.'},Andrea B. Guimaraes,My favorite hand cream! Love it!,Five Stars,1516665600
52,5,True,"01 21, 2018",A2L7MJNZFQXA5S,B00004U9V2,{'Size:': ' 3.5 oz.'},Sweet Angel,Best hand loton ever.  Bit pricey.  Has slight fragrance that wears off relatively fast.  I have issues with fragrance normslly but it's not been a problem.,Best hand lotion!,1516492800
53,4,False,"01 18, 2018",A1FN9R7H8AKQBL,B00004U9V2,{'Size:': ' 0.9 oz.'},Susan M,My favorite hand lotion. I wish it wasn't so expensive.,Four Stars,1516233600
54,5,True,"01 18, 2018",A32RFU686GO591,B00004U9V2,{'Size:': ' 250 g'},Amazon Customer,"Love this lotion, never feels greasy",Five Stars,1516233600
55,5,True,"01 17, 2018",AVTQIQRPE4PAQ,B00004U9V2,{'Size:': ' 3.5 oz.'},Fran,"Great product, well worth its price. Perfect to relieve cracked dry hands from winter's harshness!",Great product well worth the price,1516147200
56,5,True,"01 17, 2018",A2L86QWWTRUVAW,B00004U9V2,{'Size:': ' 250 g'},Robert Price,great stuff!!,Five Stars,1516147200
57,5,True,"01 16, 2018",A30QWQBQ7LTITL,B00004U9V2,{'Size:': ' 3.5 oz.'},"Bath, Pa",A gift.,Five Stars,1516060800
58,5,False,"01 15, 2018",A3DLEKA8HV94T2,B00004U9V2,{'Size:': ' 0.9 oz.'},jv,My favorite lotion and cheaper than from the store!,Five Stars,1515974400
59,5,True,"01 15, 2018",A2K0WVO4X2YGF1,B00004U9V2,{'Size:': ' 250 g'},Tracey,Bought as a gift. Great lotion.,Great lotion.,1515974400
60,4,False,"01 14, 2018",A1S6BZDOM2SOVM,B00004U9V2,{'Size:': ' 0.9 oz.'},MAW,smaller than expected but good product,Four Stars,1515888000
61,5,True,"01 13, 2018",A33V7JQYT39G71,B00004U9V2,{'Size:': ' 3.5 oz.'},Frozen Tundra Shopper,Was a gift,Five Stars,1515801600
62,5,True,"01 10, 2018",A3P9MQ9JHDVXCP,B00004U9V2,{'Size:': ' 3.5 oz.'},Onisdee,This hand cream is amazing. My sister had a tube and when I needed some lotion she told me she only had this hand cream. I loved It right away. It made my hands so soft and it smells great. Bought a tube the next day.,This hand cream is amazing. My sister had a tube and when I ...,1515542400
63,5,False,"01 8, 2018",A3DLQJC3K2ZIC5,B00004U9V2,{'Size:': ' 250 g'},Sarah Rose,"This is my go-to winter hand cream. Amazing smell, such a nice creamy feel and keeps my hands very hydrated.","Amazing smell, such a nice creamy feel and keeps ...",1515369600
64,5,True,"01 8, 2018",AIYOTT3ZVJUEB,B00004U9V2,{'Size:': ' 0.9 oz.'},Amazon Customer,"This is one of my favorite moisturizers.  It leaves a nice smooth, non-greasy layer on my rough dry hands.",Five Stars,1515369600
65,5,True,"01 6, 2018",A28OBFEXK12UAJ,B00004U9V2,{'Size:': ' 250 g'},levy0902,very good,Five Stars,1515196800
66,5,True,"01 5, 2018",A2HOI48JK8838M,B00004U9V2,{'Size:': ' 0.9 oz.'},DB,This handcream has a beautiful fragrance. It doesnt stay on or protect your hands through washing.  This size is quite small.,Beautiful Fragrance,1515110400
67,5,False,"01 3, 2018",A1EX4PHEKK825C,B00004U9V2,{'Size:': ' 0.9 oz.'},Sanni,Nicely scented lotion. Small in size and great in the winter.,Five Stars,1514937600
68,5,True,"12 30, 2017",A2BR01CI7K7GAN,B00004U9V2,{'Size:': ' 0.9 oz.'},mom and teacher,Bought for my daughter.,Has Good Reviews!,1514592000
69,5,True,"12 29, 2017",A1N6K3WYGUMHGO,B00004U9V2,{'Size:': ' 250 g'},Customer,Great cream for the skin.,Five Stars,1514505600
70,1,False,"12 28, 2017",A3KPTMMK9D967W,B00004U9V2,{'Size:': ' 0.9 oz.'},fg59,"Maybe Im just not familiar with this brand, but if this is the type of fragrance they normally use...blech!  It might be a good cream but I had to wash my hands immediately (twice) to get the horrible smell off my hands so I couldn't tell.",Bad fragrance,1514419200
71,5,True,"12 28, 2017",A3CEUD9051WKC0,B00004U9V2,{'Size:': ' 250 g'},candy973,This is one of my favorite creams. Highly recommend!!! Keeps hands moisturizers for a long time. Worth every penny.,Great product.,1514419200
72,5,True,"12 19, 2017",A69VISV3LE7DA,B00004U9V2,{'Size:': ' 0.9 oz.'},Candice,"I simply love this lotion!  Originally, I received it as a gift.  Have been buying it ever since!",Five Stars,1513641600
73,5,False,"12 19, 2017",A2G0OL2CNZLB6C,B00004U9V2,{'Size:': ' 0.9 oz.'},C.B.,"This actually helped fix my wife's hands, which have bothered her for years.  It is not greasy or water-downed.  It's pricey, but it's worth it.",Great Product,1513641600
74,1,True,"12 17, 2017",A1W4FSYPXAR8CP,B00004U9V2,{'Size:': ' 250 g'},Sarah E Vickery,Love this lotion but it arrived dented all over.  Planned on giving as a gift but now I'll keep for myself.,"Great product, dented container",1513468800
75,5,True,"12 14, 2017",A1FZOLQO37TD3E,B00004U9V2,{'Size:': ' 3.5 oz.'},K,"A favorite, love that this can be purchased online with quick delivery throughPrime",Five Stars,1513209600
76,5,True,"12 7, 2017",A24S7PF1P6JZ3,B00004U9V2,{'Size:': ' 0.9 oz.'},morganerin,"This is one of my favorite hand creams, ever. Smells lovely, like a light fresh herbal scent. Makes hands silky smooth with no greasy film.",This is one of my favorite hand creams,1512604800
77,5,True,"11 28, 2017",A1YR3F06HAYN3Y,B00004U9V2,{'Size:': ' 3.5 oz.'},GlutenQueen,Everything was great! Product arrived on time and was exactly as described and pictured! No complaints!,Five Stars,1511827200
78,4,True,"11 27, 2017",ARBEN4CJ2MNAH,B00004U9V2,{'Size:': ' 250 g'},Nicole Christensen,The bottle was deliver dented. It was a gift and was very disappointing. Great product. If you plan on buying this for a gift for someone like I did ...dont. Go on their real website.,Great product. If you plan on buying this for ...,1511740800
79,1,True,"11 27, 2017",A2T23XPSSVM1MA,B00004U9V2,{'Size:': ' 0.9 oz.'},Mike karago,Too little for the cost.,One Star,1511740800
80,5,True,"11 25, 2017",A3C3M9S43OC2UC,B00004U9V2,{'Size:': ' 0.9 oz.'},Amazon Customer,This is the best.,Five Stars,1511568000
81,5,True,"11 18, 2017",A1Q7NVWYAGK8BQ,B00004U9V2,{'Size:': ' 250 g'},K. Sparling,"I've tried many, many different hand lotions, but have never found one that works as well as this one.  I put this on my hands (you don't need much), then put on a pair of spa gloves for about a 1/2 hours.  Awesome results!  Even better when you use the Gardener's Pumice first!!",Nothing better!!,1510963200
82,3,True,"11 15, 2017",A3SGHVCNU9S4D6,B00004U9V2,{'Size:': ' 0.9 oz.'},vj,I got fooled by the size in the picture. I was really disappointed when I received it. overall I love the product,I was really disappointed when I received it,1510704000
83,4,True,"11 15, 2017",A3OARC87R1UEPI,B00004U9V2,{'Size:': ' 0.9 oz.'},Donna Mae,Wish it came in a bigger size,Moisturiising,1510704000
84,5,True,"11 5, 2017",AIDAO8SJBK4P9,B00004U9V2,{'Size:': ' 3.5 oz.'},LEROY BRIGHTWELL,Best around.,Five Stars,1509840000
85,5,True,"11 4, 2017",A3M7Z1ZR238RPV,B00004U9V2,{'Size:': ' 250 g'},Nancy McNelis,Excellent product for Gardners who refuse to wear gloves and use their hands to work with soil.,Five Stars,1509753600
86,4,True,"10 31, 2017",A1B9RHPMRQRJ6I,B00004U9V2,{'Size:': ' 0.9 oz.'},Luck Chris,"A gift, good smell.",Four Stars,1509408000
87,5,True,"10 31, 2017",A3GO04TZ67GI4L,B00004U9V2,{'Size:': ' 250 g'},jlsagirl,"The best hand cream, with subtle fragrance.",A Gardener's Must!,1509408000
88,5,True,"10 23, 2017",A31KD5E7LS58G3,B00004U9V2,{'Size:': ' 3.5 oz.'},B.Taylor,Excellent product for working outdoors those little cuts and scrapes will heal quick using this cream.,Five Stars,1508716800
89,2,True,"10 17, 2017",A21B4S5G6CGEC6,B00004U9V2,{'Size:': ' 250 g'},MsDee,So sorry that they changed the formula.  This was a 5-star item before they changed the ingredients.  It's just an okay product now...not worth the extra money it costs.  It's expensive.,So sorry that they changed the formula. This was ...,1508198400
90,5,True,"10 12, 2017",A2W6XRYVXD1KZM,B00004U9V2,{'Size:': ' 250 g'},Amanda,I have to wash my hands a lot for work and this is my favorite hand lotion after a long day. Works like magic and makes my hands feel really good.,... hands a lot for work and this is my favorite hand lotion after a long day,1507766400
91,5,True,"10 9, 2017",A3EUSBB72G3M1G,B00004U9V2,{'Size:': ' 250 g'},auntie,The BEST hand cream you will ever use! Leaves your hands super soft and hydrated. It's like a drink of water for your hands.,The BEST,1507507200
92,5,True,"10 8, 2017",A1C471I1QFK20F,B00004U9V2,{'Size:': ' 250 g'},AKSailor,"This is not an inexpensive product but it is the very best hand lotion that I've ever used.  When I pump a bit on my hands and spread it into my skin, my hands stop being dry and uncomfortable, although it's a classic case of, ""I didn't know that they hurt until they stopped hurting.""  I've never used anything nearly as effective.  I'm male and often work outdoors and with my hands and caring for my skin is simply not something that I do.  This stuff, though, works.",The Best That I've Used.,1507420800
93,5,True,"10 5, 2017",A1TPSZTAPCZ2W8,B00004U9V2,{'Size:': ' 250 g'},Rockgurl,My favorite lotion hands down (pun intended). Smells divine and makes my hands really soft. This is my third bottle. The last one lasted a year and it has been on my desk all that time...I use it every day. Great quality.,Wonderful lotion,1507161600
94,5,False,"09 29, 2017",A3AC253FUWNVDK,B00004U9V2,{'Size:': ' 250 g'},JujusMama,"I was told by my dad to pick up a trade while I was an undergrad, and that trade was beauty. I worked at The Body Shop, Sephora, and MAC. Never had I had a problem with dry/cracked hands; however, my mother did and my beloved almond Body Shop hand cream wasn't enough.

Someone told me to get this product, so I got the smallest size, just in case. Wish I had bought her this size, as this was now her go-to!

Skip forward over a decade, and I'm pregnant with my 1st and only child. I had the most difficult pregnancy, so I picked up sewing as a stress reliever (plus, I could make my son his own clothes and cloth diapers!) Little did I know that sewing DESTROYS your hands!

You cannot have a greasy hand cream while sewing, as it'll ruin your fabric. Also, you need fast access to your cream, and twist tops just don't do the job. Lastly, when your fingers, fingernails, cuticles crack and peel, it can snag your fabric and threads, destroying your garment.

I remembered this product and quickly bought the tube. THANK THE LORD I REMEMBERED THIS STUFF!!! Saved my life and fabric!

The pump is the best price--dollar per ounce--and the most convenient. The smell is great and the product is soaked up by my abused hands in seconds. Never have I ruined a good piece of silk, and rarely do my fingers snag fabric. The only time it does happen is when I forget to moisturize my hands.

My mom works in electronics and is the lead of production. She files papers all day and sometimes has to handle electronic components to help others. Her hands would crack and bleed from her work. It was painful to look at! Plus, she, too, cannot use greasy products, as that would ruin the electronics.

As she worked along with C&E Gardner's, her hands became normal once again, no longer embarrassing her. We love this stuff, and if it came by the gallon, we'd invest in tubs!",The BEST!!,1506643200
95,5,True,"09 27, 2017",A28EYFURVP5PPZ,B00004U9V2,{'Size:': ' 250 g'},Peggy Dionne,Best hand cream ever,Five Stars,1506470400
96,5,True,"09 23, 2017",A1MGUK7NI9WIBS,B00004U9V2,{'Size:': ' 3.5 oz.'},Eleanor Rusling,"Favorite and first go-to tool in my gardening kit!!! Try this: 1) Slather hands, with excess under your nails. 2) Don gardening gloves. 3) Garden till you drop! 4) Remove gloves, wash hands, and enjoy the lovely soft skin! :)",Hand spa in a bottle - use with gardening gloves!,1506124800
97,5,True,"09 21, 2017",AAFF6Q132B3QD,B00004U9V2,{'Size:': ' 250 g'},Marie Bonacci,"The absolute best hand cream. Silky, not sticky or greasy.  Also when I use it daily, my nails are stronger and grow longer. The price is too high. Period. But it is my yearly indulgence. A bottle lasts almost the whole year, using it nightly.",The absolute best hand cream,1505952000
98,5,True,"09 21, 2017",A25RFIRLZKWC0Z,B00004U9V2,{'Size:': ' 250 g'},Sunshine,Been using this for years ... my husband loves how it works,Great product,1505952000
99,5,True,"09 7, 2017",A1C0L7ZNVWZPSF,B00004U9V2,{'Size:': ' 250 g'},Melanie Coney,A very effective lotion and smells wonderful!,Five Stars,1504742400
100,5,True,"09 5, 2017",A1VZSB4DNMP1Y,B00004U9V2,{'Size:': ' 0.9 oz.'},Tristen S,"Love this smell, and the best lotion I have EVER used. Soaks right in",Five Stars,1504569600
101,1,False,"08 28, 2017",A1MN2DA3T9CLTR,B00004U9V2,{'Size:': ' 0.9 oz.'},liz kornafel,testor's version,One Star,1503878400
102,5,True,"08 13, 2017",A3JGNR55UOA6P1,B00004U9V2,{'Size:': ' 250 g'},Beth 7,Love this stuff! It is consistently good at moisturizing and I like the scent.,Great stuff,1502582400
103,5,True,"08 11, 2017",A30YVUOM9S6Q1U,B00004U9V2,{'Size:': ' 3.5 oz.'},Chris,This is hands down (pun intended) the best hand cream ever!,Best stuff ever....,1502409600
104,4,True,"08 9, 2017",AJOU9QPXFHBQE,B00004U9V2,{'Size:': ' 250 g'},MRG,"I absolutely adore this product; the scent is why I buy it. However, I'm not clear as to why it is double or even triple the cost of other high quality, similar products. This is not the first time I've purchased it, but I have to save up in order to be able to buy it.","Amazing scent, but is it worth it.",1502236800
105,5,True,"08 7, 2017",A2N10VHDHLDYY5,B00004U9V2,{'Size:': ' 3.5 oz.'},Amazon Customer,Have used it for years... only thing that heals my dig in the dirt hands!!,Five Stars,1502064000
106,5,True,"08 6, 2017",ATXI2F0UQ04KN,B00004U9V2,{'Size:': ' 250 g'},Richard D. Henry,"Wonderful, as always... :)",Five Stars,1501977600
107,5,True,"08 6, 2017",A2PX1A91ASU2FG,B00004U9V2,{'Size:': ' 250 g'},JLP,I love this stuff and the scent.  Have several Gardener's products that I purchase routinely,Love this,1501977600
108,5,True,"08 1, 2017",A3R1BUTQMNSKU5,B00004U9V2,{'Size:': ' 3.5 oz.'},Mike,Best ever hand cream,Five Stars,1501545600
109,5,True,"07 26, 2017",ABMM4I1WJPDU8,B00004U9V2,{'Size:': ' 3.5 oz.'},Val 27,I am an avid gardener and I used this religiously. It's the best product for making my hands refreshed after a scub and. I use it before going to bed and the scent dissipates. Everyone I have given it to loves Love's it as do I. I agree C&E needs to do something about the palm oil.,BEST AFTER THE SCRUB,1501027200
110,4,True,"07 26, 2017",A2VO80WU6913KH,B00004U9V2,{'Size:': ' 250 g'},Amazon Customer,Love this!!! It works better than anything else I have tried!,Great lotion!,1501027200
111,5,True,"07 18, 2017",A31DA9098LN01C,B00004U9V2,{'Size:': ' 0.9 oz.'},BabyBoomer57,"Wanna get somebody a gift they won't wanna share?  This stuff is amazing.  I think it's a bit expensive, but my hands are so much better (I work in the yard a lot).",Love love love this hand cream.,1500336000
112,5,True,"07 13, 2017",A3C8G0WOAF7N37,B00004U9V2,{'Size:': ' 250 g'},Islandgirl,Truly a soothing lotion.,Five Stars,1499904000
113,5,True,"07 9, 2017",AOB44N6HUDLSZ,B00004U9V2,{'Size:': ' 250 g'},Garden Girl,This is a fabulous product...nothing works better on dry calloused gardening hands!!!,"Absolutely the BEST hand cream, especially for gardeners!",1499558400
114,5,True,"07 8, 2017",A279EZ21L74FFL,B00004U9V2,{'Size:': ' 3.5 oz.'},Peter B.,Great!,Five Stars,1499472000
115,4,True,"06 23, 2017",A3KDIEBPLVZZCX,B00004U9V2,{'Size:': ' 250 g'},Donna Beronda,"This is a great product, but I think it is very overpriced.  The pricing is the fault of Crabtree and Evelyn--not Amazon.","This is a great product, but I think it is very overpriced",1498176000
116,5,True,"06 19, 2017",A23B2E4S9NSSC8,B00004U9V2,{'Size:': ' 250 g'},Sruprof,Wonderful product for any gardener!,Five Stars,1497830400
117,5,True,"06 17, 2017",ADTUFW8DLTRYF,B00004U9V2,{'Size:': ' 3.5 oz.'},Amazon Customer,Love this lotion!! Smells great and feels great!,Five Stars,1497657600
118,5,True,"06 17, 2017",A1OOSEM3O1H389,B00004U9V2,{'Size:': ' 0.9 oz.'},Marcia Acker-Missall,This product does exactly what it is advertised to do. The aroma is wonderful and I have purchased this product several times because it makes my hands feel soft without being sticky at all and the aroma is romantic.,Does exactly what its advertised to do,1497657600
119,5,False,"06 10, 2017",A3SPE3W450ARKE,B00004U9V2,{'Size:': ' 0.9 oz.'},Robin Martin,Strengthens my nails and heals my cuticle.,Five Stars,1497052800
120,5,True,"06 6, 2017",A7DMBT4KKN6OI,B00004U9V2,{'Size:': ' 3.5 oz.'},Tere Belcher,"I know it's hand cream, but it's great for my feet.",Love It!,1496707200
121,5,True,"06 5, 2017",A35BNF5WZDT0CR,B00004U9V2,{'Size:': ' 250 g'},Kindle Customer,perfect,Five Stars,1496620800
